Code article;Designation Article;Code Fournisseur;Ref Fournisseur;Code Famille;Code SFamille;Code SSFamille;Code TVA;Qte Appro;Prix Vente;Anc Prix Vente;Prix Promotion;Prix Achat Brut;Anc Prix Achat Brut;Remise Achat;Status;Qte Kg Litre;Unite Vte;Date Creation;Date modification;Taux Tva;Prix Vente HT;Anc PVente HT;
0000000000001;BIERE ECHEC & MALT 33CL;00000007;;4;5;0;2;6;2.4;2.5;0;1.67;0;0;ACTIF;0.33;Kilogramme;25/08/2017;20/12/2018;20;2;2.083333;
0000000000002;BIERE MALTOBARBAR 33CL;00000007;;4;5;0;2;6;2.4;2.5;0;1.67;0;0;ACTIF;0.33;Kilogramme;25/08/2017;20/12/2018;20;2;2.083333;
0000000000003;SAVON MIEL ET NOIX;00000008;;22;1;0;2;1;4.03;3.89;0;2.8;2.7;0;ACTIF;0.1;Kilogramme;25/08/2017;20/12/2018;20;3.358333;3.241667;
0000000000004;SAVON NATURE;00000008;;22;1;0;2;1;3.89;4.05;0;2.7;0;0;ACTIF;0.1;Kilogramme;25/08/2017;20/12/2018;20;3.241667;3.375;
0000000000006;SAVON PROVENCE;00000008;;22;1;0;2;1;4.03;3.89;0;2.8;2.7;0;ACTIF;0.1;Kilogramme;25/08/2017;20/12/2018;20;3.358333;3.241667;
0000000000007;SAVON BLANC LAVANDIN LIQUIDE;00000008;;22;1;0;2;1;10.08;10.5;0;7;0;0;ACTIF;0.5;Kilogramme;25/08/2017;20/12/2018;20;8.4;8.75;
0000000000008;SAVON DE MENAGE;00000008;;23;2;0;2;1;6.91;6.77;0;4.8;4.7;0;ACTIF;0.18;Kilogramme;25/08/2017;20/12/2018;20;5.758333;5.641667;
0000000000009;SAVON DETACHANT;00000008;;23;2;0;2;1;3.89;4.05;0;2.7;0;0;ACTIF;0.1;Kilogramme;25/08/2017;20/12/2018;20;3.241667;3.375;
0000000000014;CONFITURE DE FRAMBOISES BOUCHE BAIE;00000010;;3;3;0;1;0;5;5;0;3.79;0;0;ACTIF;0.35;Kilogramme;25/08/2017;20/12/2018;5.5;4.739336;4.739336;
0000000000015;CONFITURE D ABRICOT;00000010;;3;3;0;1;0;4.08;4.25;0;3.22;0;0;ACTIF;0.37;Kilogramme;25/08/2017;20/12/2018;5.5;3.867299;4.028436;
0000000000017;VIN BLANC A L OMBRE DU MURIER;00000012;;4;6;0;2;6;4.18;3.89;0;2.9;2.7;0;ACTIF;0.75;Kilogramme;25/08/2017;20/12/2018;20;3.483333;3.241667;
0000000000018;VIN ROUGE COTE DU RHONE;00000012;;4;6;0;2;6;5.04;4.75;0;3.5;3.3;0;ACTIF;0.75;Kilogramme;25/08/2017;20/12/2018;20;4.2;3.958333;
0000000000019;VIN ROSE A L OMBRE DU MURIER;00000012;;4;6;0;2;6;4.18;3.89;0;2.9;2.7;0;ACTIF;0.75;Kilogramme;25/08/2017;20/12/2018;20;3.483333;3.241667;
0000000000020;VIN ROSE 5L;00000012;;4;6;0;2;1;9.07;8.64;0;6.3;6;0;ACTIF;5;Kilogramme;25/08/2017;20/12/2018;20;7.558333;7.2;
0000000000021;SEL DE TABLE DE L ILE DE NOIRMOUTIER;00000013;;2;9;0;1;0;1.71;1.78;0;1.35;0;0;ACTIF;1;Kilogramme;25/08/2017;20/12/2018;5.5;1.620853;1.687204;
0000000000022;FLEUR DE SEL DE L ILE DE NOIRMOUTIER;00000013;;2;9;0;1;0;5.07;4.68;0;4;3.69;0;ACTIF;0.25;Kilogramme;25/08/2017;20/12/2018;5.5;4.805687;4.436019;
0000000000023;FLEUR DE SEL AUX HERBES DE PROVENCE;00000013;;2;9;0;1;0;4.56;4.75;0;3.6;0;0;ACTIF;0.125;Kilogramme;25/08/2017;20/12/2018;5.5;4.322275;4.50237;
0000000000024;OEUF PLEIN AIR;00000014;6003PA;12;4;0;1;360;0.23;0.24;0;0.18;0.18;0;ACTIF;0;Unite;29/08/2017;20/12/2018;5.5;0.218009;0.227488;
0000000000031;POIVRON;00000018;;1;1;0;1;0;3.75;3.9;0;2.96;0;0;ACTIF;1;Kilogramme;30/08/2017;20/12/2018;5.5;3.554502;3.696682;
0000000000032;HARICOTS BIO;00000018;;1;1;0;1;0;5.76;6;0;4.55;4.55;0;ACTIF;1;Kilogramme;30/08/2017;20/12/2018;5.5;5.459716;5.687204;
0000000000035;PAS A L EPICERIE --> BANANE BIO PROMO !;00000017;NECTARINE;1;2;0;1;0;2.28;6.68;0;1.8;5.06;0;ACTIF;1;Kilogramme;30/08/2017;20/12/2018;5.5;2.161137;6.331754;
0000000000039;RAISIN BIO;00000017;RAISIN;1;2;0;1;0;5.47;5.3;0;4.32;4.18;0;ACTIF;1;Kilogramme;30/08/2017;20/12/2018;5.5;5.184834;5.023697;
0000000000041;POMME MYRTILLE;00000003;;4;3;0;1;0;2.66;2.66;0;2.1;0;0;ACTIF;1;Kilogramme;19/10/2017;20/12/2018;5.5;2.521327;2.521327;
0000000000042;COULIS DE GROSEILLES;00000037;;3;3;0;1;6;4.94;4.94;0;3.9;0;0;ACTIF;0.25;Kilogramme;19/10/2017;20/12/2018;5.5;4.682464;4.682464;
0000000000043;COULIS  DE PETITS FRUITS;00000037;;3;3;0;1;6;4.94;4.94;0;3.9;0;0;ACTIF;0.215;Kilogramme;19/10/2017;20/12/2018;5.5;4.682464;4.682464;
0000000000044;COULIS DE FRAMBOISES;00000037;;3;3;0;1;6;4.94;4.94;0;3.9;0;0;ACTIF;0.215;Kilogramme;19/10/2017;20/12/2018;5.5;4.682464;4.682464;
0000000000045;CONFITURES DE FRAMBOISES EQUINOPS;00000037;;3;3;0;1;6;4.05;4.05;0;3.2;0;0;ACTIF;0.235;Kilogramme;19/10/2017;20/12/2018;5.5;3.838863;3.838863;
0000000000046;CONFITURES DE MURES;00000037;;3;3;0;1;6;4.05;4.05;0;3.2;0;0;ACTIF;0.235;Kilogramme;19/10/2017;20/12/2018;5.5;3.838863;3.838863;
0000000000048;CONFITURE DE MYRTILLES SAUVAGES;00000037;;3;3;0;1;6;4.05;4.05;0;3.2;0;0;ACTIF;0.235;Kilogramme;19/10/2017;20/12/2018;5.5;3.838863;3.838863;
