Code Famille;Code SFamille;Code SSFamille;Nom Famille;
1;0;0;FRUITS. LEGUMES;
1;1;0;LEGUMES;
1;2;0;FRUITS;
1;3;0;CHAMPIGNONS;
1;4;0;HERBES AROMATIQUES;
1;5;0;;
1;6;0;;
1;7;0;;
2;0;0;EPICERIE SALEE;
2;1;0;PATES. RIZ;
2;2;0;SEMOULES. GRAINES. LEGUMINEUSE;
2;3;0;CONSERVES DE LEGUMES;
2;4;0;PATES. TERRINES. TOFUS;
2;5;0;CONSERVES DE LA MER;
2;6;0;SOUPES. CROUTONS;
2;7;0;SAUCES;
2;8;0;APERITIF. CHUTNEYS;
2;9;0;CONDIMENTS. SELS. EPICES;
2;10;0;HUILES. VINAIGRES;
2;11;0;AIDE CULINAIRE;
2;12;0;PLATS CUISINES;
3;0;0;EPICERIE SUCREE;
3;1;0;BISCUITS;
3;2;0;CHOCOLATS. CONFISERIE. PRALINE;
3;3;0;COMPOTES. CONFITURES. COULIS;
3;4;0;MIELS;
3;5;0;PATES A TARTINER. PUREES;
3;6;0;SUCRE. FARINES. POUDRES. AIDE ;
3;7;0;THES. CAFES. INFUSIONS;
3;8;0;CEREALES. FRUITS SECS. BARRES;
3;9;0;CONSERVES DE FRUITS;
4;0;0;BOISSONS;
4;1;0;EAUX;
4;2;0;LAITS. BOISSONS VEGETALES;
4;3;0;JUS DE FRUITS;
4;4;0;SIROPS. AUTRES BOISSONS NON-AL;
4;5;0;BIERES. CIDRES;
4;6;0;VINS;
4;7;0;CHAMPAGNES. PETILLANTS;
4;8;0;APERITIFS;
5;0;0;PAIN. PATISSERIE;
5;1;0;PAINS FRAIS;
5;2;0;BRIOCHES;
5;3;0;PAIN DE MIE. BISCOTTES. GALETT;
5;4;0;GATEAUX. PAINS D EPICES;
5;5;0;PREPARATIONS PATISSIERES;
6;0;0;VRAC;
6;1;0;PATES. RIZ;
6;2;0;BISCUITS;
6;3;0;SUCRE. FARINES;
6;4;0;FRUITS SECS;
6;5;0;CEREALES. PETIT-DEJEUNER;
6;6;0;SEMOULES. GRAINES. LEGUMINEUSE;
6;7;0;CAFE. THE;
6;8;0;SEL. EPICES;
6;9;0;CONFISERIE;
6;10;0;ENTRETIEN;
7;0;0;;
8;0;0;;
8;1;0;;
8;2;0;;
8;3;0;;
8;4;0;;
8;5;0;;
8;5;6;;
8;6;0;;
8;7;0;;
9;0;0;;
9;1;0;;
9;2;0;;
9;3;0;;
9;4;0;;
9;5;0;;
10;0;0;;
10;1;0;;
10;2;0;;
10;3;0;;
10;4;0;;
10;5;0;;
11;0;0;VIANDES. CHARCUTERIES. PROTEIN;
11;2;0;PORC;
11;3;0;VOLAILLES;
11;5;0;CHARCUTERIES. SALAISONS;
12;0;0;CREMERIE. FROMAGES. DESSERTS;
12;1;0;FROMAGES;
12;2;0;CREMES. BEURRES;
12;3;0;YAOURTS. DESSERTS;
12;4;0;OEUFS;
12;5;0;LAITS FRAIS;
13;0;0;TRAITEUR;
13;1;0;ENTREES. SALADES;
13;2;0;PLATS CUISINES;
13;3;0;PATES A TARTE;
13;4;0;PATES FRAICHES;
13;5;0;SPECIALITES REGIONALES;
13;6;0;;
14;0;0;POISSONS. CRUSTACES;
14;1;0;;
14;2;0;;
21;0;0;BEBES;
21;2;0;PETITS POTS. GOURDES. BISCUITS;
21;3;0;COUCHES;
21;4;0;HYGIENE;
21;5;0;ACCESSOIRES POUR BEBES;
22;0;0;HYGIENE. BEAUTE;
22;1;0;SAVONS. SHAMPOINGS. DENTIFRICE;
22;2;0;HYGIENE FEMININE;
22;3;0;COSMETIQUES. MAQUILLAGE;
22;4;0;SOINS DU CORPS;
22;5;0;ACCESSOIRES;
23;0;0;ENTRETIEN;
23;1;0;SOIN DU LINGE;
23;2;0;PRODUITS DE NETTOYAGE;
23;3;0;PAPIER TOILETTE. ESSUIE-TOUT;
23;4;0;DESODORISANTS;
23;5;0;SACS POUBELLE. SAC ASPIRATEUR;
23;6;0;ACCESSOIRES DE MENAGE;
24;0;0;EMBALLAGES. ACCESSOIRES DE CUI;
24;1;0;SACS EN TISSUS. CONTENANTS;
24;2;0;ACCESSOIRES REUTILISABLES;
24;3;0;FILMS ETIRABLES. PAPIER CUISSO;
24;4;0;SACS CONSOMMABLES;
24;5;0;CONSIGNES;
25;0;0;SANTE. BIEN-ETRE;
25;1;0;PREMIERS SOINS;
25;2;0;HUILES ESSENTIELLES;
31;0;0;LIVRES. JOURNAUX;
31;1;0;LIVRES;
31;2;0;JOURNAUX;
41;0;0;MAISON;
41;1;0;VERRES;
43;0;0;TEXTILE;
43;1;0;TABLIERS;
44;0;0;ANIMALERIE;
44;1;0;ALIMENTS CHATS;
44;2;0;ALIMENTS CHIENS;
44;3;0;ALIMENTS AUTRES ANIMAUX;
