Code Fournisseur;Nom Fournisseur;Adresse1;Adresse2;Ville;CodePostal;Mt Franco;Tva Intracommunautaire;Delai;Remise;Nom Contact;Telephone;Portable;Fax;Email;Site Internet;
00000001;BIO&TERROIR;14 rue jean moulin;;CLAIX;38640;0;;0;0;;06 73 38 31 02;;;bio-terroir-henri@hotmail.fr;;
00000002;ARTISANS DU MONDE;14 RUE DE LA BEAUNE;;MONTREUIL CEDEX;93181;350;;3;0;BUREAU;0143601160;;;cdes@solidarmonde.fr;;
00000003;THOMAS LE PRINCE;342 ROUTE DE ROBINSON;;VALLIERES;74150;100;;0;0;FAURE;0450621210;;;tamara.faure@thomasleprince.fr;;
00000004;J AIME BOC OH;11 ROUTE DE lYON;;COGNIN;73160;0;;0;0;BOURDEAU;09 81 49 17 92;0662266342;;contact@jaimebocoh.com;;
00000005;SCOPTI;500 AVENUE DU PIC DE BERTAGNE;;GEMENOS;13420;350;;0;0;LEBERQUIER;0442325361;0688167736;;olivier.leberquier@scop-ti.com;;
00000006;BRASSERIE DU VAL D AINAN;82 VOIE DE LA MARTINETTE;;ST GEOIRE EN VALDAINE;38620;0;;7;0;DEREUME;0476063345;;;brasserie.ainan@gmail.com;;
00000007;MALTOBAR;10 PLACE EDMOND ARNAUD;;GRENOBLE;38100;0;;0;0;;0673167647;0673167647;;contact@maltobar.fr;;
00000008;CANOLA;933 CHEMIN DES ROUX;;VAULNAVEYS LE HAUT;38410;90;;0;0;DUTREY;0687793955;;;dutrey@yahoo.fr;;
00000009;LES AFFRANCHIS;88 RUE ANATOLE FRANCE;;GRENOBLE;38100;0;;0;0;PAILLARET;0686351791;;;contact@les-affranchis.bio;;
00000010;BOUCHE BAIE;MONTGAREN;;LA CHAPELLE DU BARD;38580;0;;0;0;COMAILS;0663424060;0663424060;;jocelyncomaills@gmail.com;;
00000011;MIEL DE NOS MONTAGNES;HAMEAU DE POUTAZ;;LES ADRETS;38190;0;;0;0;ISABELLO;0476710254;0683384209;;sylviane.isabello@free.fr;;
00000012;DOMAINE DES LAUZES;CHEMIN DU GRES;;SERIGNAN DU COMTAT;84830;0;;0;0;RAOUX;0607272254;;;raouxg@orange.fr;;
00000013;THIERRY GALLAIS;LES CHOLLEAUX;;L EPINE;85740;0;;0;0;GALLAIS;;;;lescholleaux@free.fr;;
00000014;BEL AIR;135 chemin du bel air;;TECHE;38470;0;;0;0;;0476367412;0608881083;;oeufdebelair@wanadoo.fr;;
00000015;FERME DES CATTIERS;Les cattiers;;AVIGNONET;38650;0;;0;0;SATRE;;0627151184;;lafermedescattiers@gmail.com;;
00000016;ECODIS;RUE DE GALLILEE;;ST NOLFF;56250;370;;0;0;HERWANTORO;0297484059;;;alherwantoro@ecodis.org;;
00000017;MANGEZ BIO ISERE;40 avenue Marcelin Berthelot;Maison des agriculteurs;GRENOBLE;38036;300;;0;0;KERMEN;0650537661;;;kevin.kermen@mangezbioisere.com;www.mangezbioisere.fr;
00000018;GAEC LES JARDINS DU BANCHET;14 chemin de la Montagne;;BILIEU;38850;0;;0;0;PIVOT-PAJOT;0679755802;0679755802;;lesjardinsdubanchet@gmail.com;www.lesjardinsdubanchet.fr;
00000019;SCOP EPICE;7 CHEMIN DES TUILERIES;;MARSEILLE 15;13015;500;;0;0;;0491087875;0687325586;;contact@epice.org;http://epice.org/spip.php?rubrique10;
00000021;PASTA ET AROMI;133 avenue d Italie;;ST JEAN DE MAURIENNE;73300;0;;0;0;;04 79 20 27 65;;;lapasta.pates@gmail.com;www.pates.pro ;
00000023;FERME CHAMP FLEURI;La versanne;;SINARD;38930;100;;0;0;COLLIN;0476340249;0684431185;;fermedechampfleuri@orange.fr;;
00000026;LE PAIN DU PEUIL;30 rue du peuil;;VARCES ALLIERES ET RISSET;38760;80;;0;0;;0476975396;;;lepaindupeuil@orange.fr;;
