clef Stat;Date De Vente;Designation Article;Total Qte VEndue;Total ca vente HT;Total Ca Vente TTC;
0000000000001;05/01/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;11/01/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;12/01/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;13/01/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;20/01/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;27/01/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;03/02/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;10/02/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;21/02/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;22/02/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;01/03/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;08/03/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;10/03/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;17/03/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;28/04/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;10/05/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;16/05/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;18/05/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;08/06/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;29/06/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;06/07/2018;BIERE ECHEC & MALT 33CL;3;6;7.2;
0000000000001;12/07/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;18/07/2018;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;20/07/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;24/07/2018;BIERE ECHEC & MALT 33CL;1;2;2.4;
